Archivo,Proveedor,Fecha,NºFactura,Reconciliacion,Excel
2001 2T24 0401 SEGURMA RC.pdf,SEGURMA,01-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2001_2T24_0401_SEGURMA_RC.xlsx
2002 2T24 0530 BOSCH TJ.pdf,BOSCH,30-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2002_2T24_0530_BOSCH_TJ.xlsx
2003 2T24 0401 YOIGO REC.pdf,YOIGO,01-03-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2003_2T24_0401_YOIGO_REC.xlsx
2004 2T24 0407 JIMELUZ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2004_2T24_0407_JIMELUZ.xlsx
2005 2T24 0404 DISTRIBUCIONES LAVAPIES TF.pdf,LAVAPIES,04-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2005_2T24_0404_DISTRIBUCIONES_LAVAPIES_TF.xlsx
2006 2T24 0408 VICTORINO MARTIN.pdf,MARTIN,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2006_2T24_0408_VICTORINO_MARTIN.xlsx
2007 2T24 0408 SABORES DE PATERNA TF.pdf,PATERNA,08-04-08,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2007_2T24_0408_SABORES_DE_PATERNA_TF.xlsx
2008 2T24 0403 BODEGAS MARTIN MU�OZ CB TR.pdf,MUNOZ,03-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2008_2T24_0403_BODEGAS_MARTIN_MUÑOZ_CB_TR.xlsx
2009 2T24 0414 LUCERA RC.pdf,LUCERA,11-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2009_2T24_0414_LUCERA_RC.xlsx
2010 2T24 0410 LA PURISIMA TF.pdf,PURISIMA,10-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2010_2T24_0410_LA_PURISIMA_TF.xlsx
2011 2T24 0414 ALCAMPO.pdf,ALCAMPO,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2011_2T24_0414_ALCAMPO.xlsx
2012 2T24 0415 SABORES DE PATERNA TF.pdf,PATERNA,15-04-15,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2012_2T24_0415_SABORES_DE_PATERNA_TF.xlsx
2013 2T24 0418 JOSE LUIS CARRASCAL TF.pdf,CARRASCAL,17-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2013_2T24_0418_JOSE_LUIS_CARRASCAL_TF.xlsx
2014 2T24 0403 JOSE LUIS SANCHEZ CARRASCAL TF.pdf,CARRASCAL,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2014_2T24_0403_JOSE_LUIS_SANCHEZ_CARRASCAL_TF.xlsx
2015 2T24 0419 ALCAMPO TJ.pdf,ALCAMPO,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2015_2T24_0419_ALCAMPO_TJ.xlsx
2016 2T24 0416 LA ROSQUILLERIA TF.pdf,ROSQUILLERIA,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2016_2T24_0416_LA_ROSQUILLERIA_TF.xlsx
2017 2T24 0422 DERRIBOS ANDRES TF.pdf,ANDRES,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2017_2T24_0422_DERRIBOS_ANDRES_TF.xlsx
2018 2T24 0402 JIMELUZ .pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2018_2T24_0402_JIMELUZ_.xlsx
2019 2T24 0414 JIMELUZ .pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2019_2T24_0414_JIMELUZ_.xlsx
2020 2T24 0412 JIMELUZ.pdf,JIMELUZ,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2020_2T24_0412_JIMELUZ.xlsx
2021 2T24 0529 WEEK CLEAN TF.pdf,CLEAN,28-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2021_2T24_0529_WEEK_CLEAN_TF.xlsx
2022 2T24 0419 DISTRIBUCIONES LAVAPIES TF.pdf,LAVAPIES,19-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2022_2T24_0419_DISTRIBUCIONES_LAVAPIES_TF.xlsx
2023 2T24 0501 SEGURMA RC.pdf,SEGURMA,01-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2023_2T24_0501_SEGURMA_RC.xlsx
2024 2T24 0506 JAVIER ALBORES TF.pdf,ALBORES,06-05-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2024_2T24_0506_JAVIER_ALBORES_TF.xlsx
2025 2T24 0430 JULIO GARCIA VIVAS.pdf,VIVAS,30-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2025_2T24_0430_JULIO_GARCIA_VIVAS.xlsx
2026 2T24 0430 PILAR RODRIGUEZ MAJADAL TF.pdf,MAJADAL,30-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2026_2T24_0430_PILAR_RODRIGUEZ_MAJADAL_TF.xlsx
2027 2T24 0430 LICORES MADRUE�O RC.PDF,LICORES MADRUE�O,02-04-24,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2027_2T24_0430_LICORES_MADRUEÑO_RC.xlsx
2028 2T24 0430 ABBATI CAFFE RC.pdf,CAFFE,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2028_2T24_0430_ABBATI_CAFFE_RC.xlsx
2029 2T24 0506 FELISA GOURMET TF.pdf,GOURMET,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2029_2T24_0506_FELISA_GOURMET_TF.xlsx
2030 2T24 0430 GRUPO TERRITORIO CAMPERO TF.pdf,CAMPERO,,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2030_2T24_0430_GRUPO_TERRITORIO_CAMPERO_TF.xlsx
2031 2T24 0430 FRANCISCO GUERRA TF.pdf,GUERRA,30-04-30,,NO_RECONCILE_MISSING_TOTAL,out\bm_20250912_1859\2031_2T24_0430_FRANCISCO_GUERRA_TF.xlsx
