Archivo,Proveedor,Fecha,NºFactura,Reconciliacion,Excel
2061 2T24 0404 BM EF.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2061_2T24_0404_BM_EF.xlsx
2062 2T24 0405 BM EF.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2062_2T24_0405_BM_EF.xlsx
2063 2T24 0407 BM EF.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2063_2T24_0407_BM_EF.xlsx
2064 2T24 0410 BM TJ.pdf,,01-01-45,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2064_2T24_0410_BM_TJ.xlsx
2066 2T24 0412 BM 2 TJ.pdf,,24-03-24,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2066_2T24_0412_BM_2_TJ.xlsx
2067 2T24 0412 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2067_2T24_0412_BM_TJ.xlsx
2068 2T24 0413 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2068_2T24_0413_BM_TJ.xlsx
2069 2T24 0414 BM TJ.pdf,,01-02-59,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2069_2T24_0414_BM_TJ.xlsx
2070 2T24 0417 BM EF.pdf,,14-04-28,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2070_2T24_0417_BM_EF.xlsx
2071 2T24 0418 BM TJ.pdf,,25-07-42,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2071_2T24_0418_BM_TJ.xlsx
2072 2T24 0424 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2072_2T24_0424_BM_TJ.xlsx
2073 2T24 0425 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2073_2T24_0425_BM_TJ.xlsx
2074 2T24 0428 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2074_2T24_0428_BM_TJ.xlsx
2076 2T24 0517 BM EF.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2076_2T24_0517_BM_EF.xlsx
2077 2T24 0518 BM EF.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2077_2T24_0518_BM_EF.xlsx
2078 2T24 0519 BM EF.pdf,,01-04-89,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2078_2T24_0519_BM_EF.xlsx
2079 2T24 0522 BM EF.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2079_2T24_0522_BM_EF.xlsx
2097 2T24 0411 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2097_2T24_0411_BM_TJ.xlsx
2103 2T24 0419 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2103_2T24_0419_BM_TJ.xlsx
2107 2T24 0426 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2107_2T24_0426_BM_TJ.xlsx
2118 2T24 0503 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2118_2T24_0503_BM_TJ.xlsx
2125 2T24 0509 BM .pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2125_2T24_0509_BM_.xlsx
2128 2T24 0517 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2128_2T24_0517_BM_TJ.xlsx
2154 2T24 0614 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2154_2T24_0614_BM_TJ.xlsx
2156 2T24 0615 BM TJ.pdf,,,,NO_RECONCILE_MISSING_TOTAL,out\fix_1_20250912_1910\2156_2T24_0615_BM_TJ.xlsx
