Archivo,Proveedor,Fecha,NºFactura,Reconciliacion,Excel
2004 2T24 0407 JIMELUZ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2004_2T24_0407_JIMELUZ.xlsx
2018 2T24 0402 JIMELUZ .pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2018_2T24_0402_JIMELUZ_.xlsx
2019 2T24 0414 JIMELUZ .pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2019_2T24_0414_JIMELUZ_.xlsx
2020 2T24 0412 JIMELUZ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2020_2T24_0412_JIMELUZ.xlsx
2040 2T24 0512 JIMELUZ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2040_2T24_0512_JIMELUZ.xlsx
2041 2T24 0510 JIMELUZ .pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2041_2T24_0510_JIMELUZ_.xlsx
2042 2T24 0426 JIMELUZ .pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2042_2T24_0426_JIMELUZ_.xlsx
2043 2T24 0512 JIMELUZ (1).pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2043_2T24_0512_JIMELUZ_1_.xlsx
2044 2T24 0511 JIMELUZ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2044_2T24_0511_JIMELUZ.xlsx
2045 2T24 0428 JIMELUZ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2045_2T24_0428_JIMELUZ.xlsx
2046 2T24 0428 JIMELUZ 2.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2046_2T24_0428_JIMELUZ_2.xlsx
2047 2T24 0509 JIMELUZ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2047_2T24_0509_JIMELUZ.xlsx
2049 2T24 0511 JIMELUZ 2.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2049_2T24_0511_JIMELUZ_2.xlsx
2050 2T24 0511 JIMELUZ 3.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2050_2T24_0511_JIMELUZ_3.xlsx
2057 2T24 0403 JIMELUZ .pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2057_2T24_0403_JIMELUZ_.xlsx
2092 2T24 0401 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2092_2T24_0401_JIMELUZ_EF.xlsx
2095 2T24 0406 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2095_2T24_0406_JIMELUZ_EF.xlsx
2096 2T24 0407 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2096_2T24_0407_JIMELUZ_EF.xlsx
2100 2T24 0413 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2100_2T24_0413_JIMELUZ_EF.xlsx
2101 2T24 0415 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2101_2T24_0415_JIMELUZ_EF.xlsx
2104 2T24 0420 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2104_2T24_0420_JIMELUZ_EF.xlsx
2105 2T24 0421 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2105_2T24_0421_JIMELUZ_TJ.xlsx
2108 2T24 0427 JIMELUZ 2 EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2108_2T24_0427_JIMELUZ_2_EF.xlsx
2109 2T24 0427 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2109_2T24_0427_JIMELUZ_EF.xlsx
2110 2T24 0427 JIMELUZ 3 EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2110_2T24_0427_JIMELUZ_3_EF.xlsx
2112 2T24 0430 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2112_2T24_0430_JIMELUZ_EF.xlsx
2116 2T24 0502 JIMELUZ EF 2.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2116_2T24_0502_JIMELUZ_EF_2.xlsx
2117 2T24 0502 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2117_2T24_0502_JIMELUZ_EF.xlsx
2119 2T24 0503 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2119_2T24_0503_JIMELUZ_TJ.xlsx
2120 2T24 0504 JIMELUZ 2 TJ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2120_2T24_0504_JIMELUZ_2_TJ.xlsx
2121 2T24 0504 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2121_2T24_0504_JIMELUZ_TJ.xlsx
2122 2T24 0505 JIMELUZ 2 EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2122_2T24_0505_JIMELUZ_2_EF.xlsx
2123 2T24 0505 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2123_2T24_0505_JIMELUZ_EF.xlsx
2124 2T24 0505 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2124_2T24_0505_JIMELUZ_TJ.xlsx
2127 2T24 0514 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2127_2T24_0514_JIMELUZ_EF.xlsx
2130 2T24 0517 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2130_2T24_0517_JIMELUZ_EF.xlsx
2131 2T24 0519 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2131_2T24_0519_JIMELUZ_EF.xlsx
2147 2T24 0607 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2147_2T24_0607_JIMELUZ_EF.xlsx
2155 2T24 0614 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2155_2T24_0614_JIMELUZ_EF.xlsx
2157 2T24 0615 JIMELUZ 2 TJ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2157_2T24_0615_JIMELUZ_2_TJ.xlsx
2158 2T24 0615 JIMELUZ EF.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2158_2T24_0615_JIMELUZ_EF.xlsx
2160 2T24 0617 JIMELUZ TJ.pdf,JIMELUZ,,,NO_RECONCILE,out\focus_20250913_2157\2160_2T24_0617_JIMELUZ_TJ.xlsx
2169 2T24 0405 CERES RC.PDF,CERES,05-04-24,,NO_RECONCILE,out\focus_20250913_2157\2169_2T24_0405_CERES_RC.xlsx
2170 2T24 0409 CERES RC.PDF,CERES,09-04-24,,NO_RECONCILE,out\focus_20250913_2157\2170_2T24_0409_CERES_RC.xlsx
2171 2T24 0412 CERES RC.PDF,CERES,12-04-24,,NO_RECONCILE,out\focus_20250913_2157\2171_2T24_0412_CERES_RC.xlsx
